quote,author,emotion
"In the end the shape and form don't matter at all, it's only the soul that matters, right? Nothing else.",Soul Eater,general
"I'm still a man too, I wanted to look calm and composed in front of everyone. Especially in front of the one I'm in love with.",Ooga Kazuomi,mindfulness
"Clausewitz, he pointed out that no matter how carefully one plans, on the battlefield, even the smallest of details can cause setbacks. Regardless of how well-thought it is, armchair strategizing only works in the realm of theory. Unexpected troubles, or uncontrollable factors such as weather. Operations face those sorts of troubles. They are the cause of strife on the battlefield.",Makishima Shougo,motivation
Because of the existence of love - sacrifice is born. As well as hate. Then one comprehends... one knows PAIN.,Pain,grief
Courage is a word of justice. It means the quality of mind that enables one to face apprehension with confidence and resolution. It is not right to use it as an excuse to kill someone.,Ran Mouri,resilience
Everyone Makes Mistakes. But people's feelings can manifest through the most subtle of expressions.,Nona,general
"The truth is everyone is going to hurt you, you just got to find the ones worth suffering for.",Hei,grief
"Slowly, by spending time together with that person, your love for him will grow bigger.",Kaizaki Arata,love
"It's best to go up against strong guys, if you want to get stronger.",Shōyō Hinata,general
Mistaking lust for love shows that you're caught in an inflationary spiral of sexual frustration.,Tsukihi Araragi,love
The inexperienced draw attention by acting differently.,Oreki Houtarou,wisdom
You should try persuasion when people are mentally defenseless. The fascist who proposed that was a demonic genius.,Tanya Degurechaff,general
The words of your past are fundamentally unrelated to who you are now.,Ryuunosuke Akutagawa,general
"Humans who would dare to play God must pay a steep price for their arrogance, that is Truth.",Father,wisdom
"""Never trust anyone too much... Remember the devil was once an angel...""",Kaneki Ken,hope
There are two kinds of girls in this world. Lovely girls who can get along with me. And all the bitches who can't,Sena Kashiwazaki,love
Women tend to kill when it's not necessary. They kill for reasons of passion. For trivial reasons like love and hate. ,Lieutenant Colonel Yuuki,love
"If I try, I fail. If i don't try i'm never going to get it.",Aang,resilience
DEATH is so unfair. It comes to those who don't need it. But not the people who are asking for it.,Yuu Otosaka,grief
"In this world, nobody is free. Even the flying birds are chained to the sky.",Yuu Otosaka,general
"Even if you lose all memory in your head, the ones engraved in your heart and the ones that exist in your soul will never disappear, no matter what happens.",Gintoki Sakata,love
