text,author
The only way to do great work is to love what you do.,Steve Jobs
"When we are no longer able to change a situation, we are challenged to change ourselves.",Viktor E. Frankl
The human spirit is stronger than anything that can happen to it.,C.C. Scott
You are never too old to set another goal or to dream a new dream.,C.S. Lewis
The wound is the place where the Light enters you.,Rumi
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson
The only impossible journey is the one you never begin.,Tony Robbins
Every day is a new beginning. Take a deep breath and start again.,Anonymous
"You have power over your mind - not outside events. Realize this, and you will find strength.",Marcus Aurelius
"The greatest glory in living lies not in never falling, but in rising every time we fall.",Nelson Mandela
